game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,10,0,0,0,0
100,23,0,0,25,2
150,28,0,0,22,0
200,28,0,1,19,2
250,12,0,0,11,2
300,23,0,0,24,3
350,25,0,1,22,2
400,24,0,1,21,4
450,14,0,0,13,3
500,19,0,0,25,6
550,15,0,0,23,1
600,14,0,3,9,3
650,19,0,0,30,1
700,17,0,1,32,0
750,26,0,1,18,5
800,15,0,4,30,1
850,25,0,1,22,2
900,6,0,0,10,1
950,18,0,3,25,3
1000,22,0,1,26,1
1050,21,0,1,24,4
1100,13,0,0,24,4
1150,21,0,0,26,3
1200,19,0,0,28,3
1250,20,0,0,30,0
1300,15,0,0,33,2
