game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
1,B,checkmate,102,0.000000,0,2026-07-09 21:12:14,b1a3 b8a6 h2h3 f7f6 g2g4 a6c5 a3b5 c7c6 b2b4 c5e6 d2d4 e6g5 c1e3 e7e6 b5c7 d8c7 a2a3 c7a5 h3h4 a5c5 h1h3 e8f7 f2f3 a8b8 e1f2 h7h5 d1e1 h5g4 b4b5 e6e5 e1a5 g5e4 f2g2 e4d6 d4c5 a7a6 a1c1 g4f3 g1f3 d6b5 c2c3 f8d6 f3g5 f7e8 c1b1 b5a7 e3g1 d6f8 h4h5 f6f5 e2e3 h8h6 f1b5 f8e7 b1a1 h6h7 a5c7 c6b5 c7d7 e8d7 g2f1 e7d6 h3h2 b8a8 a1c1 d7c7 c1d1 c7c6 f1f2 h7h6 d1d5 a6a5 d5d2 h6h8 d2e2 c8e6 e2e1 c6d7 g5f3 d7c6 f2g3 a8b8 g3h4 b5b4 e1e2 c6d5 c5c6 a7b5 e2b2 g7g5 h4g5 b4b3 b2d2 b5d4 c6b7 a5a4 f3d4 e6f7 d2e2 d6e7 g5f5 g8h6
2,B,checkmate,102,0.000000,0,2026-07-09 21:12:14,e2e4 b8c6 h2h3 c6a5 d2d3 a8b8 f2f3 g8h6 c2c3 f7f6 e1e2 a5c4 d3c4 e7e6 e2d2 f6f5 f1e2 f8b4 f3f4 d8e7 d1c2 g7g5 c2a4 g5f4 h1h2 b4c5 e2g4 c5f2 a4a5 e7b4 g4d1 f2h4 g2g4 f4g3 d1c2 b4d6 d2e1 e8f8 b1d2 d6c5 h2g2 h4f6 c2b1 c5b4 e4f5 b8a8 c4c5 h6f5 g2f2 b7b5 c3c4 b4b2 a5b5 g3f2 e1f2 b2a1 g1f3 f5e7 c1b2 h7h5 b5a5 e7g8 f2e2 h5h4 f3g5 a1b2 b1d3 c8a6 d3e4 f6d4 e2f1 b2c3 e4g2 d4g1 g5e6 f8f7 e6d8 f7g6 f1e1 c3c1 e1e2 c1c2 g2a8 a6c4 e2f3 c2b2 d8f7 h8h5 a8d5 g1e3 f7d8 d7d6 a2a3 g6f5 d8b7 e3c5 a5b6 b2a1 f3g2 a1g1 g2f3 g1f2
3,W,checkmate,117,0.000000,0,2026-07-09 21:19:39,a2a3 g8f6 b2b3 b7b6 f2f3 f6g4 e2e3 f7f5 g1e2 h7h5 h2h4 g7g6 a1a2 e8f7 a2b2 c8a6 a3a4 e7e6 c2c4 f8h6 h1g1 h8f8 e3e4 f7f6 e2g3 a6b7 e4e5 f6g7 g1h1 h6g5 f3g4 f8g8 b1c3 g7f7 g4f5 f7g7 f5e6 c7c6 b3b4 g8f8 g3f5 g7h7 f5e3 c6c5 c3e4 b8a6 d1h5 g6h5 g2g4 a6b8 e4c5 h7g8 e3d1 b7f3 d1f2 f3d1 f1h3 d1e2 e1e2 g5h6 d2d3 f8f2 e2f2 h6e3 f2e2 e3c1 e2e1 g8f8 h1f1 f8g7 f1f4 c1d2 e1e2 d8f6 f4d4 f6f3 e2d2 d7d5 d2c2 f3f4 h3g2 b6b5 e6e7 f4d4 c4d5 d4c5 c2b3 c5c6 d5c6 h5g4 b2b1 g7g6 d3d4 b5a4 b3c2 a7a5 c2d1 g6f7 g2f1 f7e6 f1g2 b8a6 b4a5 a8d8 b1c1 d8d7 e7e8q e6f5 e8h8 d7d4 d1c2 d4c4 c2d2 c4d4 d2e3 d4d2 h8f6
4,W,checkmate,123,0.000000,0,2026-07-09 21:22:41,a2a3 b8a6 g2g4 g8h6 c2c4 g7g6 b2b3 a6b8 h2h3 b8c6 d1c2 e7e5 c2g6 h8g8 f2f4 c6b8 d2d4 a7a5 f4f5 e8e7 d4e5 h6g4 a3a4 g8g6 a1a3 g6f6 h1h2 f6g6 f5g6 h7h5 g6g7 g4e3 a3a2 d7d5 c4d5 f7f5 b1a3 b8c6 c1d2 e7f7 g7g8q f7e7 g8g5 e7e8 g5d8 c6d8 d2c3 d8c6 a2b2 e8f7 a3c2 f8b4 c3b4 b7b5 e5e6 f7g8 h2g2 e3g4 d5c6 b5a4 b4c3 g8h7 b2a2 a4a3 e1d2 a8a7 h3h4 a7b7 e6e7 g4e5 g2g3 e5f7 g3e3 a5a4 d2d1 a4b3 c3b4 h7g6 b4a3 f7h6 e3b3 c8d7 c2e1 d7c6 b3h3 c6f3 a3d6 f3g2 d1c2 h6f7 e1f3 g2h3 e2e3 f7d6 c2d2 b7b4 f1b5 h3g2 d2e2 b4d4 a2a4 d4h4 a4a7 g2f3 e2d3 f3e2 g1e2 d6b7 b5a4 b7c5 d3d2 c5b3 a4b3 h4h3 a7c7 h3h2 e7e8q g6g5 e8e6 h2f2 e6g8 g5f6 g8g7
5,B,checkmate,132,5.930551,5,2026-07-09 21:27:33,a2a4 f7f5 e2e3 g8h6 b1c3 e7e5 g2g4 h6f7 g1f3 f8e7 f1e2 d7d6 b2b4 f5g4 c1a3 b8c6 a3b2 g4g3 d2d3 e7g5 b2c1 d8f6 d1d2 a7a5 c3b5 f6f5 h1f1 g5e3 b5d6 e8d7 f3g5 f5e4 h2g3 e4h4 d6f5 h4h3 a1a2 e3a7 e2f3 h3g3 f3h1 a5b4 h1c6 d7c6 f5d4 c6b6 c1b2 b6a6 g5e4 c8f5 d2f4 a8c8 e1d1 c8b8 f4e3 c7c6 e4g3 f5g4 d1c1 g4h3 e3d2 g7g5 c1d1 h3f1 d2c1 b8d8 d4c6 a7d4 a4a5 h7h6 b2d4 h8h7 d1d2 d8d7 d4b6 h6h5 c6b8 a6b5 f2f3 f7d6 c2c4 b4c3 c1c3 d6e4 d2c2 d7c7 c3c6 b7c6 f3f4 c7d7 b6g1 e4d6 g3e4 h7e7 b8d7 b5b4 g1f2 e7d7 f2e3 d7g7 e4c3 f1d3 c2d3 d6b7 c3d5 b4b3 d3e2 h5h4 e3f2 g7f7 f2g3 g5f4 a2c2 h4g3 c2c1 e5e4 d5c7 b7d8 c7a8 f7f6 c1d1 g3g2 d1a1 f6f5 a1b1 b3a2 b1b5 f5b5 a8c7 b5b2 e2e1 g2g1q
6,W,checkmate,147,5.561207,10,2026-07-09 21:34:52,b1a3 d7d6 h2h4 g7g6 a3b5 g8f6 b2b3 d6d5 f2f4 b8a6 b5a7 f6d7 e2e3 g6g5 f4f5 d7e5 f1e2 c8e6 e1f1 h7h5 f5f6 d8d6 e3e4 e6g4 c1a3 d6e6 b3b4 e6f6 e2f3 e5g6 d2d3 f6d6 c2c3 f7f5 h1h2 d5e4 b4b5 e8d7 f3e2 e4e3 a3b4 h8h7 d3d4 d6d5 d1c1 d5g2 h2g2 h7h6 d4d5 a8a7 g2g3 g5h4 a1b1 f5f4 b4c5 g4f3 c1a3 a6c5 b1a1 d7d6 a3c1 d6e5 g3g6 h6h7 g6g4 f3g4 e2f3 a7a5 g1e2 g4c8 c1e1 e7e6 e1b1 a5a3 b1c1 c5a4 c1b2 f8e7 e2g3 e6d5 a1c1 h7f7 b2g2 a4b2 g2h1 f7h7 f1g2 a3a2 h1h4 e3e2 g2h2 h7h8 f3e2 d5d4 c1a1 a2a3 c3d4 e5e6 g3e4 a3a2 h4h3 e6f7 a1c1 a2a5 h2h1 a5a1 c1b1 b2d3 e4d2 d3f2 h1g2 a1a4 h3g3 f2h1 g3g6 f7f8 b1e1 e7a3 g6e8 f8g7 e1f1 g7h6 e8h5 h6g7 h5h6 g7f7 h6e6 f7g7 g2f3 h1f2 d2e4 h8h4 e6d7 g7g8 f1g1 h4g4 e2d3 a3c5 d3b1 a4a7 e4f6 g8f8 b1g6 g4g3 g1g3 c5b6 d7f7
7,W,cap_draw,150,5.387469,15,2026-07-09 21:36:26,b2b3 b8a6 g1f3 f7f6 a2a3 b7b6 f3g5 e7e5 g5h7 c7c6 h2h3 f8b4 h1g1 g8h6 g2g3 e5e4 a3b4 a6c5 e2e3 a7a5 c2c3 g7g6 b4b5 c5b3 h7g5 b3d4 b1a3 c8b7 f1c4 d7d5 h3h4 d4e2 h4h5 g6h5 a3b1 d8b8 a1a2 e2f4 d1h5 e8d8 b1a3 f4e6 a2b2 e6f8 e1f1 a5a4 f1e2 b8d6 g1d1 d6c5 d1e1 f8d7 h5e8 h8e8 c4d5 c5f8 d5f7 a8a6 g5h7 f8g8 f7b3 g8g4 e2f1 g4f3 b2b1 d7c5 h7f6 c6b5 d2d3 f3f4 f1g2 a6a8 g2h2 f4h4 h2g1 a8a5 a3b5 b7c8 f6d5 h4g4 c1d2 h6g8 d5b4 g4e2 b3d5 a5b5 d2c1 e2d2 b1b3 d2f2 g1f2 a4a3 d5e6 c5a4 e1h1 b5h5 c1a3 h5c5 e6f5 c5c7 h1h2 c7c4 d3c4 e8e7 b3b1 c8f5 b4a6 f5d7 a3e7 d8c8 b1a1 g8e7 h2h4 d7g4 f2f1 g4h3 h4h3 e7f5 g3g4 f5h4 a6c7 c8b7 h3h2 b7c7 g4g5 c7b8 h2b2 h4f3 a1a2 b6b5 a2a4 f3g1 a4a3 b8c7 f1f2 b5b4 a3a8 g1h3 f2f1 h3g5 c3b4 c7c6 a8b8 g5e6 b8c8 c6d7 c8e8 d7e8 b2b3 e6d4
8,B,cap_draw,150,5.289315,20,2026-07-09 21:36:26,b1a3 g7g5 h2h3 g5g4 f2f3 g4f3 e2f3 b8a6 f1d3 a6b4 g2g3 f7f5 e1e2 b4c6 h1h2 d7d6 c2c4 f8h6 a1b1 h6d2 e2f2 b7b6 b2b3 e8f7 d3f5 d2e3 f2g2 e3g1 h3h4 g1e3 d1d6 c6d4 d6c6 h7h6 c6e8 d8e8 f5h3 c8a6 a3c2 e3f2 a2a4 b6b5 g3g4 a6b7 g2f2 e8d7 h4h5 d7c8 b1a1 d4c2 c1e3 c8g4 f3f4 f7e6 e3b6 a8c8 f4f5 e6e5 b6a7 g4f4 f2e2 f4h4 a1a2 c7c6 e2d2 b7a8 h3g2 c8f8 c4c5 h4f2 d2c1 b5a4 a2a1 f2e1 c1c2 e1b1 a1b1 f8e8 g2h1 e7e6 c2d3 e8b8 h2b2 e5f5 b1f1 f5g5 f1g1 g5f6 b2f2 f6e7 g1e1 b8e8 e1d1 a4a3 d1d2 g8f6 d3c3 e7f8 h1f3 h8g8 d2d7 g8g1 d7d5 f8f7 f2e2 g1g7 f3h1 c6d5 c5c6 f6g8 a7d4 g8f6 d4g1 f6e4 c3d3 g7g1 b3b4 g1d1 d3c2 e4g3 e2e3 e8g8 c2b3 a8b7 b3a3 d1a1 a3b2 a1c1 e3c3 f7f8 c3a3 g3f5 a3e3 c1a1 e3a3 f5g7 b2c2 g7f5 h1g2 g8g2 c2b3 a1b1 b3a4 b1b4 a4b4 f5g3 b4c3 b7c6 c3d4 c6d7
9,W,cap_draw,150,5.140245,25,2026-07-09 21:36:27,g2g4 c7c6 a2a4 g8f6 f1h3 g7g5 a4a5 c6c5 b2b3 f6g8 b3b4 b7b6 e2e4 b8a6 a5b6 g8f6 d1f3 c8b7 f3c3 f6g4 h3g4 h7h6 c1b2 d7d6 c3b3 d8c7 b3e3 c5c4 e3a3 a8b8 f2f3 b7c8 e1e2 h8g8 d2d4 e8d8 e2e1 b8a8 c2c3 g8g6 b6c7 d8c7 e1f2 f8g7 f2e3 c7d8 a1a2 c8e6 b2c1 a6c5 g4h5 a8c8 h5g6 c8c7 a2g2 c5b3 g6f7 c7b7 c1b2 e6f7 a3a5 d8d7 a5a2 b7b5 g2f2 g7h8 f2d2 h8e5 a2a7 d7e8 a7a3 b5b7 a3a8 e8d7 a8a3 e5f4 e3e2 f7g6 h2h3 b7b6 h3h4 f4e5 b2a1 g6e4 d4d5 g5h4 e2f2 e5d4 f2f1 d4h8 a3b3 b6b8 g1h3 e4d3 f1g1 d7c8 d2e2 e7e6 b1a3 b8b5 a1b2 d3f5 g1f1 f5d3 f3f4 c8b7 b2a1 d3e2 f1g1 b7b8 f4f5 h8c3 h3f2 b5b6 b3c4 e2d1 c4c8 b8c8 g1h2 d1h5 f2g4 c8d7 h1f1 e6f5 f1f3 b6b7 g4f6 d7c7 h2g2 c7b6 g2f1 b7a7 f6g8 c3b2 f1e1 b2a1 g8e7 a1h8 e7f5 h8d4 f5e7 a7c7 a3c2 h5g6 f3f8 c7c6 d5c6 g6f7 e1e2 f7e8
10,W,cap_draw,150,5.108899,30,2026-07-09 21:36:28,h2h4 b7b5 b1a3 d7d6 a3c4 c8f5 f2f3 e7e6 c4d6 d8d6 f3f4 g8h6 e1f2 g7g5 h4g5 b8c6 g1h3 c6e5 g5h6 f8e7 a2a4 e7h4 f2g1 e5c6 a1a3 f7f6 c2c3 c6d8 a4a5 d6f8 d2d3 e8d7 h3g5 f5e4 g5e6 d7e7 c1e3 e4f3 b2b4 h4f2 g1f2 f3e4 d3d4 e4g6 d1d3 g6d3 e6c7 a8b8 c7a8 a7a6 f2g3 e7f7 h1g1 d3g6 d4d5 f8c5 g3h3 c5a7 f4f5 a7b6 a8b6 f7e8 a3b3 b8c8 b3a3 c8c3 f5g6 c3e3 a3e3 d8e6 e3e6 e8d8 e2e3 h8f8 d5d6 f6f5 b6a8 f8f6 e6f6 d8d7 f6f5 d7e8 f1c4 e8d8 c4f7 d8d7 f5f3 d7c8 g1h1 h7g6 h1h2 c8d7 e3e4 d7d8 h2h1 d8c8 f3g3 c8d8 h3g4 g6g5 h1h2 d8c8 g3a3 c8b7 a8b6 b7b8 a3f3 b8b7 f3a3 b7c6 g4h5 c6d6 h5g4 d6c7 f7h5 c7b7 h6h7 b7a7 g4f3 a7b7 f3f2 b7b8 g2g4 b8a7 f2g2 a7b7 g2f3 b7b8 f3f2 b8c7 h2h4 c7d6 a3a4 g5h4 a4a2 d6c6 b6a4 b5a4 f2e2 a4a3 e2f3 h4h3 a2a1 c6c7 a1e1 c7c8 h7h8q c8c7 h8b8 c7b8
