game,moves
1,b2b4 a7a5 c1a3 d7d6 a3b2 d6d5 c2c4 d5d4 b1c3 g8h6 d1c1 g7g6
1,b1a3 b8a6 h2h3 f7f6 g2g4 a6c5 a3b5 c7c6 b2b4 c5e6 d2d4 e6g5
2,e2e4 b8c6 h2h3 c6a5 d2d3 a8b8 f2f3 g8h6 c2c3 f7f6 e1e2 a5c4
3,a2a3 g8f6 b2b3 b7b6 f2f3 f6g4 e2e3 f7f5 g1e2 h7h5 h2h4 g7g6
4,a2a3 b8a6 g2g4 g8h6 c2c4 g7g6 b2b3 a6b8 h2h3 b8c6 d1c2 e7e5
5,a2a4 f7f5 e2e3 g8h6 b1c3 e7e5 g2g4 h6f7 g1f3 f8e7 f1e2 d7d6
6,b1a3 d7d6 h2h4 g7g6 a3b5 g8f6 b2b3 d6d5 f2f4 b8a6 b5a7 f6d7
7,b2b3 b8a6 g1f3 f7f6 a2a3 b7b6 f3g5 e7e5 g5h7 c7c6 h2h3 f8b4
8,b1a3 g7g5 h2h3 g5g4 f2f3 g4f3 e2f3 b8a6 f1d3 a6b4 g2g3 f7f5
9,g2g4 c7c6 a2a4 g8f6 f1h3 g7g5 a4a5 c6c5 b2b3 f6g8 b3b4 b7b6
10,h2h4 b7b5 b1a3 d7d6 a3c4 c8f5 f2f3 e7e6 c4d6 d8d6 f3f4 g8h6
11,e2e4 d7d5 d2d4 b7b5 b1d2 b8a6 g1e2 g8f6 a2a3 f6d7 d2b1 c8b7
12,a2a3 g8f6 b2b3 d7d6 a1a2 a7a6 h2h3 e8d7 e2e4 c7c6 c2c3 g7g6
13,e2e4 a7a5 b1a3 a8a7 c2c4 f7f5 h2h4 a5a4 g2g4 b7b6 h1h3 f5e4
14,g2g4 d7d5 h2h4 e7e6 f1g2 a7a6 b2b3 e6e5 g2h3 c8g4 c1b2 g4h5
15,e2e4 d7d5 g1h3 e8d7 d2d4 d7e6 e4d5 e6d5 b1a3 d5c6 h3g1 c6d6
16,f2f4 a7a6 b2b3 h7h5 a2a4 d7d6 c2c3 d6d5 a1a3 h8h6 a3a2 e7e5
17,a2a3 f7f5 h2h4 h7h6 b2b3 h8h7 f2f3 b7b6 d2d4 b6b5 h1h2 e7e6
18,a2a3 f7f5 g2g4 a7a6 f2f3 f5f4 h2h3 e7e5 e2e3 d8f6 d1e2 f8e7
19,a2a3 f7f5 f2f4 a7a6 b2b4 e7e5 b4b5 d7d6 c1b2 g8e7 b1c3 b7b6
20,c2c4 e7e6 d2d4 f8d6 a2a3 d8e7 e2e3 b7b6 b2b3 f7f6 a3a4 e8d8
21,e2e4 d7d6 g1f3 b7b5 f3e5 b8a6 d1e2 d8d7 c2c4 e7e6 e5g4 c7c6
22,e2e3 a7a5 b2b4 d7d5 f2f4 a8a7 g2g3 h7h5 f1a6 h5h4 d1e2 c8h3
23,b2b3 a7a6 f2f3 b7b5 a2a3 b5b4 e1f2 c7c5 h2h4 d7d5 f3f4 a8a7
24,g2g3 e7e6 c2c3 g8e7 b2b3 a7a5 f2f3 g7g6 a2a3 e7d5 a3a4 c7c6
25,a2a3 a7a5 g2g3 b7b5 c2c3 c8b7 d1a4 c7c5 a4d4 d8b6 d4g7 h7h5
26,g2g4 e7e6 g4g5 f8d6 a2a3 d6f8 c2c4 h7h5 d1b3 a7a5 a3a4 f7f5
27,b2b3 a7a5 g2g4 e7e6 f2f3 d8h4
28,a2a3 a7a6 f2f4 g7g5 h2h4 f7f6 h1h3 h7h5 b2b4 g5g4 h3f3 h8h6
29,e2e3 e7e6 d1h5 c7c6 h5g5 b7b5 f2f3 f8e7 g1h3 e8f8 g5e7 d8e7
30,e2e4 a7a6 a2a3 f7f5 g2g4 b7b6 d1e2 e7e5 e2d3 f8d6 d3g3 c7c5
31,f2f3 h7h5 e2e4 g8h6 f3f4 h8h7 a2a3 a7a6 g1e2 c7c5 c2c3 h6g4
32,a2a3 f7f5 g2g4 e7e5 f1g2 f8c5 g2b7 e8f7 b7g2 b8c6 g2h3 h7h6
33,f2f3 f7f6 a2a3 h7h5 g1h3 d7d5 h3g1 h8h7 g2g4 e7e6 e2e3 g8e7
34,b2b3 a7a6 g2g4 e7e5 a2a3 e8e7 d2d3 b7b6 f2f4 e7e6 h2h4 e6f6
35,a2a3 a7a6 b2b3 b7b6 f2f3 f7f6 c2c4 h7h6 h2h4 h6h5 h1h2 h8h7
36,b1a3 g8h6 a3c4 a7a6 c4d6 c7d6 c2c3 d8a5 a2a3 h8g8 d1b3 g7g6
37,b2b3 b7b6 f2f3 a7a6 a2a3 b8c6 b1c3 f7f6 e2e3 e7e6 c3d5 c6e7
38,a2a3 f7f6 f2f3 g8h6 e2e3 d7d6 b2b4 b7b5 g1h3 h8g8 h3g1 h6f7
39,b1c3 f7f6 f2f3 a7a6 e1f2 b7b6 b2b3 b8c6 e2e3 h7h5 g1e2 h8h6
40,b2b3 a7a6 e2e3 b7b6 a2a3 h7h5 f2f3 h8h7 f1a6 f7f6 g1e2 g7g5
41,a2a3 f7f6 h2h4 g8h6 b2b3 a7a6 d2d3 b7b6 g1f3 e7e5 h1h3 h8g8
