game,position,move1,pct1,move2,pct2,move3,pct3,move4,pct4,move5,pct5
50,start,a2a3,30.3%,b2b3,19.2%,h2h4,7.1%,b2b4,3.0%,g1f3,3.0%
50,after_e4,a7a6,23.2%,b7b6,19.2%,h7h5,8.1%,f7f6,4.0%,b7b5,3.0%
50,after_d4,b7b6,20.2%,a7a6,16.2%,h7h5,8.1%,b7b5,6.1%,f7f6,6.1%
50,italian_game,e1e2,7.1%,b2b3,5.1%,h1g1,5.1%,h2h4,4.0%,d1e2,3.0%
50,queens_gambit,b7b6,7.1%,a7a6,7.1%,e8d7,6.1%,h7h5,6.1%,f7f6,5.1%
100,start,a2a3,36.4%,h2h3,10.1%,h2h4,10.1%,f2f4,6.1%,g1h3,5.1%
100,after_e4,a7a6,29.3%,h7h5,12.1%,g8h6,6.1%,b7b6,5.1%,h7h6,5.1%
100,after_d4,a7a6,22.2%,h7h5,10.1%,h7h6,9.1%,g8h6,6.1%,f7f5,5.1%
100,italian_game,h1g1,7.1%,f3d4,5.1%,h2h4,4.0%,g2g4,4.0%,b1a3,4.0%
100,queens_gambit,e7e5,6.1%,h7h5,6.1%,a7a6,5.1%,h7h6,5.1%,g7g5,5.1%
150,start,a2a3,23.2%,h2h3,14.1%,f2f4,9.1%,g2g4,7.1%,g1h3,5.1%
150,after_e4,a7a6,16.2%,h7h6,9.1%,g8h6,9.1%,h7h5,8.1%,f7f5,8.1%
150,after_d4,a7a6,15.2%,h7h6,12.1%,g7g5,11.1%,f7f5,8.1%,g8h6,6.1%
150,italian_game,b2b3,6.1%,f3g5,5.1%,f3d4,4.0%,g2g4,4.0%,d1e2,3.0%
150,queens_gambit,b7b6,7.1%,h7h6,6.1%,g8h6,5.1%,e8d7,5.1%,f7f5,5.1%
200,start,f2f4,17.2%,a2a3,16.2%,h2h3,14.1%,g2g4,7.1%,g1h3,6.1%
200,after_e4,f7f5,17.2%,a7a6,16.2%,h7h6,12.1%,g7g5,8.1%,h7h5,7.1%
200,after_d4,f7f5,15.2%,a7a6,14.1%,h7h6,11.1%,g7g5,8.1%,d7d5,8.1%
200,italian_game,f3d4,7.1%,f3g1,5.1%,f3h4,5.1%,g2g4,4.0%,b2b3,4.0%
200,queens_gambit,f7f5,7.1%,h7h6,6.1%,g8h6,6.1%,h7h5,5.1%,e7e6,5.1%
250,start,f2f4,19.2%,h2h3,16.2%,g2g4,12.1%,a2a3,10.1%,e2e4,5.1%
250,after_e4,h7h6,18.2%,f7f5,17.2%,g7g5,16.2%,a7a6,9.1%,g8h6,6.1%
250,after_d4,f7f5,15.2%,h7h6,10.1%,g7g5,10.1%,e7e5,9.1%,a7a6,7.1%
250,italian_game,b2b3,6.1%,f3d4,5.1%,f3g5,5.1%,g2g4,4.0%,h1g1,4.0%
250,queens_gambit,e7e5,8.1%,e7e6,7.1%,b7b6,6.1%,a7a6,4.0%,b7b5,4.0%
300,start,f2f4,21.2%,g2g4,14.1%,h2h3,13.1%,a2a3,11.1%,e2e4,7.1%
300,after_e4,f7f5,22.2%,g7g5,18.2%,h7h6,10.1%,a7a6,6.1%,e7e5,6.1%
300,after_d4,f7f5,13.1%,h7h6,12.1%,g7g5,12.1%,a7a6,10.1%,d7d5,7.1%
300,italian_game,f3d4,6.1%,f3g5,5.1%,f3h4,5.1%,b2b3,4.0%,d1e2,3.0%
300,queens_gambit,e7e6,8.1%,e7e5,7.1%,h7h6,6.1%,g7g5,5.1%,h7h5,5.1%
350,start,f2f4,24.2%,h2h3,18.2%,g2g4,13.1%,a2a3,8.1%,d2d4,5.1%
350,after_e4,f7f5,16.2%,h7h6,16.2%,g7g5,15.2%,d7d5,8.1%,g8h6,5.1%
350,after_d4,g7g5,13.1%,f7f5,13.1%,h7h6,9.1%,e7e6,8.1%,a7a6,8.1%
350,italian_game,g2g4,4.0%,b1c3,4.0%,h2h3,4.0%,f3h4,4.0%,b2b3,4.0%
350,queens_gambit,b7b6,6.1%,c7c6,6.1%,e7e6,5.1%,a7a6,5.1%,b7b5,5.1%
400,start,f2f4,26.3%,h2h3,13.1%,g2g4,12.1%,e2e4,10.1%,a2a3,8.1%
400,after_e4,f7f5,24.2%,g7g5,14.1%,h7h6,11.1%,e7e5,9.1%,a7a6,7.1%
400,after_d4,f7f5,21.2%,g7g5,12.1%,h7h6,9.1%,e7e5,9.1%,d7d5,7.1%
400,italian_game,b2b3,7.1%,c4f7,5.1%,f3g5,4.0%,d1e2,3.0%,f1e2,3.0%
400,queens_gambit,e7e6,9.1%,h7h6,6.1%,a7a6,5.1%,b7b6,5.1%,g7g6,5.1%
450,start,f2f4,23.2%,h2h3,13.1%,g2g4,11.1%,a2a3,6.1%,d2d4,6.1%
450,after_e4,f7f5,25.3%,g7g5,13.1%,h7h6,9.1%,d7d5,6.1%,a7a6,6.1%
450,after_d4,f7f5,25.3%,g7g5,11.1%,d7d5,8.1%,h7h6,7.1%,a7a6,7.1%
450,italian_game,g2g4,6.1%,h1g1,5.1%,c4f7,4.0%,d1e2,3.0%,e1e2,3.0%
450,queens_gambit,f7f5,6.1%,h7h6,6.1%,c7c6,6.1%,g7g5,5.1%,f7f6,5.1%
500,start,f2f4,20.2%,h2h3,19.2%,g2g4,15.2%,e2e4,8.1%,d2d4,6.1%
500,after_e4,g7g5,20.2%,f7f5,20.2%,h7h6,14.1%,a7a6,7.1%,e7e6,7.1%
500,after_d4,f7f5,16.2%,g7g5,14.1%,e7e6,12.1%,e7e5,8.1%,d7d5,8.1%
500,italian_game,b2b3,5.1%,f3g5,5.1%,f3h4,5.1%,f3d4,4.0%,g2g3,4.0%
500,queens_gambit,e7e5,7.1%,e7e6,7.1%,a7a6,5.1%,h7h5,5.1%,b7b6,4.0%
550,start,f2f4,28.3%,g2g4,15.2%,a2a3,10.1%,h2h3,8.1%,d2d4,7.1%
550,after_e4,f7f5,27.3%,g7g5,18.2%,e7e6,8.1%,h7h6,8.1%,e7e5,6.1%
550,after_d4,e7e6,13.1%,f7f5,12.1%,d7d5,11.1%,g7g5,10.1%,e7e5,8.1%
550,italian_game,d2d4,6.1%,c4b5,5.1%,c4f7,5.1%,c4a6,4.0%,f3e5,4.0%
550,queens_gambit,e7e6,8.1%,a7a6,6.1%,f7f5,5.1%,h7h6,5.1%,h7h5,4.0%
600,start,f2f4,21.2%,h2h3,18.2%,g2g4,11.1%,e2e4,7.1%,e2e3,6.1%
600,after_e4,h7h6,16.2%,g7g5,16.2%,f7f5,14.1%,e7e6,8.1%,e7e5,5.1%
600,after_d4,f7f5,15.2%,e7e6,10.1%,g7g5,10.1%,e7e5,9.1%,d7d5,8.1%
600,italian_game,c4f7,5.1%,c4e6,5.1%,b1c3,4.0%,f3g5,4.0%,e1e2,3.0%
600,queens_gambit,e7e6,7.1%,f7f5,6.1%,c7c6,6.1%,a7a6,5.1%,e7e5,4.0%
650,start,f2f4,18.2%,h2h3,12.1%,g2g4,10.1%,a2a3,7.1%,e2e4,7.1%
650,after_e4,g7g5,17.2%,f7f5,15.2%,h7h6,13.1%,a7a6,6.1%,e7e6,6.1%
650,after_d4,e7e6,13.1%,g7g5,10.1%,f7f5,10.1%,d7d5,10.1%,e7e5,6.1%
650,italian_game,g2g4,6.1%,c4f7,5.1%,f3g5,4.0%,c4e2,4.0%,e1e2,4.0%
650,queens_gambit,e7e6,7.1%,h7h5,5.1%,a7a6,5.1%,g7g6,5.1%,b7b6,5.1%
700,start,f2f4,19.2%,h2h3,12.1%,g2g4,12.1%,e2e4,9.1%,e2e3,8.1%
700,after_e4,g7g5,17.2%,f7f5,12.1%,e7e6,9.1%,h7h6,7.1%,a7a6,6.1%
700,after_d4,e7e6,8.1%,g7g6,8.1%,g7g5,7.1%,e7e5,6.1%,d7d6,6.1%
700,italian_game,b2b3,7.1%,e1e2,4.0%,c4b3,4.0%,d1e2,3.0%,b1c3,3.0%
700,queens_gambit,g7g6,8.1%,e7e6,7.1%,d5c4,6.1%,a7a6,5.1%,b7b6,4.0%
750,start,f2f4,21.2%,g2g4,16.2%,h2h3,10.1%,e2e3,6.1%,d2d4,6.1%
750,after_e4,e7e6,15.2%,g7g5,12.1%,h7h6,10.1%,f7f5,10.1%,e7e5,7.1%
750,after_d4,f7f5,12.1%,e7e6,11.1%,d7d5,9.1%,g7g5,9.1%,e7e5,9.1%
750,italian_game,h2h4,6.1%,g2g3,4.0%,d2d4,4.0%,b2b3,4.0%,d1e2,3.0%
750,queens_gambit,e7e6,6.1%,g7g6,6.1%,a7a6,5.1%,h7h5,5.1%,f7f6,5.1%
800,start,f2f4,18.2%,g2g4,13.1%,e2e3,12.1%,e2e4,11.1%,d2d4,8.1%
800,after_e4,e7e6,17.2%,g7g5,15.2%,f7f5,11.1%,h7h6,8.1%,e7e5,6.1%
800,after_d4,e7e6,13.1%,g7g5,12.1%,e7e5,10.1%,f7f5,9.1%,d7d5,9.1%
800,italian_game,e1e2,6.1%,g2g3,6.1%,c4e6,4.0%,c4f7,4.0%,b2b3,4.0%
800,queens_gambit,g7g6,6.1%,b7b6,6.1%,h7h6,6.1%,e7e6,6.1%,g7g5,5.1%
850,start,f2f4,22.2%,h2h3,13.1%,a2a3,11.1%,d2d4,7.1%,g2g4,7.1%
850,after_e4,e7e6,16.2%,f7f5,8.1%,c7c5,6.1%,e7e5,6.1%,a7a6,5.1%
850,after_d4,e7e6,15.2%,d7d5,13.1%,g7g5,10.1%,h7h6,7.1%,g7g6,7.1%
850,italian_game,c4d5,5.1%,c4d3,4.0%,g2g4,4.0%,c4f7,4.0%,g2g3,4.0%
850,queens_gambit,h7h6,7.1%,e7e6,6.1%,g7g6,6.1%,b7b6,5.1%,c7c6,4.0%
900,start,f2f4,22.2%,g2g4,12.1%,e2e3,8.1%,h2h3,8.1%,d2d4,7.1%
900,after_e4,e7e6,16.2%,f7f5,15.2%,g7g5,13.1%,h7h6,8.1%,d7d5,6.1%
900,after_d4,e7e6,14.1%,f7f5,9.1%,d7d5,9.1%,g7g5,8.1%,e7e5,7.1%
900,italian_game,c4f7,7.1%,h2h3,5.1%,g2g3,5.1%,d2d4,5.1%,c4a6,4.0%
900,queens_gambit,e7e6,8.1%,h7h6,6.1%,b7b6,5.1%,a7a6,4.0%,e7e5,4.0%
950,start,f2f4,21.2%,e2e3,12.1%,g2g4,9.1%,h2h3,8.1%,e2e4,8.1%
950,after_e4,f7f5,16.2%,g7g5,16.2%,e7e6,12.1%,h7h6,9.1%,b7b5,3.0%
950,after_d4,f7f5,15.2%,e7e6,9.1%,g7g5,9.1%,d7d5,9.1%,g7g6,7.1%
950,italian_game,d2d4,6.1%,c4f7,5.1%,c4b5,4.0%,g2g3,4.0%,d1e2,3.0%
950,queens_gambit,e8d7,6.1%,e7e6,6.1%,h7h6,5.1%,a7a6,5.1%,g7g6,5.1%
1000,start,f2f4,18.2%,h2h3,13.1%,e2e3,11.1%,g2g4,8.1%,e2e4,8.1%
1000,after_e4,e7e6,17.2%,f7f5,9.1%,h7h6,9.1%,g7g5,9.1%,e7e5,6.1%
1000,after_d4,e7e6,13.1%,f7f5,9.1%,h7h6,7.1%,g7g6,7.1%,e7e5,6.1%
1000,italian_game,c4d3,6.1%,e1e2,4.0%,c4f7,4.0%,g2g3,4.0%,d1e2,3.0%
1000,queens_gambit,b7b6,6.1%,e7e6,6.1%,h7h6,6.1%,g8h6,5.1%,d5c4,5.1%
1050,start,f2f4,18.2%,h2h3,15.2%,g2g4,11.1%,e2e3,11.1%,g2g3,7.1%
1050,after_e4,g7g5,15.2%,e7e6,15.2%,h7h6,9.1%,f7f5,9.1%,g7g6,6.1%
1050,after_d4,d7d5,9.1%,e7e6,9.1%,f7f5,9.1%,g7g5,9.1%,h7h6,7.1%
1050,italian_game,b2b3,6.1%,c4a6,4.0%,c4b5,4.0%,h1g1,4.0%,d1e2,3.0%
1050,queens_gambit,g7g5,6.1%,g7g6,5.1%,a7a6,5.1%,h7h6,5.1%,b7b6,5.1%
