game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,1,9,0,2.786177,78.1,0,0,3,3,4,165,2026-07-10 03:08:06
100,22,20,8,3.522846,114.0,0,0,11,4,35,415,2026-07-10 04:36:14
150,27,16,7,3.169592,114.9,0,2,6,3,39,665,2026-07-10 06:01:00
200,27,18,5,2.960908,107.5,1,3,2,7,37,915,2026-07-10 07:37:33
250,9,9,7,2.779549,111.1,0,1,2,4,18,1165,2026-07-10 09:24:06
300,20,20,10,2.683921,110.1,0,7,6,2,35,1415,2026-07-10 11:01:27
350,15,25,10,2.587263,111.5,0,6,4,3,37,1665,2026-07-10 12:33:52
400,22,15,13,2.502726,109.8,0,6,5,7,32,1915,2026-07-10 14:05:51
450,14,10,6,2.446241,117.1,1,1,1,2,25,2165,2026-07-11 05:30:29
500,19,19,12,2.410069,125.2,0,1,2,5,42,2415,2026-07-11 07:20:22
550,17,17,5,2.379302,122.4,0,3,3,1,32,2665,2026-07-11 15:29:31
600,9,14,6,2.349684,102.0,0,2,6,5,16,2890,2026-07-13 09:28:41
650,26,22,2,2.314594,122.9,3,1,1,3,42,3140,2026-07-13 11:13:33
700,20,18,12,2.282705,125.7,0,1,4,4,41,3390,2026-07-13 12:59:48
750,26,15,9,2.262060,111.3,0,4,4,3,39,3640,2026-07-13 14:39:32
800,13,31,6,2.242660,122.0,1,2,2,8,37,3890,2026-07-13 16:33:19
850,17,24,9,2.216046,113.6,0,4,4,7,35,4140,2026-07-13 18:07:47
900,7,8,2,2.211455,119.8,1,1,1,0,14,4390,2026-07-14 10:13:44
950,21,21,7,2.190003,120.3,0,1,5,5,38,4640,2026-07-15 03:50:59
1000,19,24,7,2.181738,112.0,3,3,3,5,36,4890,2026-07-15 05:26:31
1050,24,18,8,2.162427,112.4,2,0,9,4,35,5140,2026-07-15 07:15:07
1100,23,10,8,2.146726,122.9,1,1,2,3,34,5390,2026-07-16 09:53:07
1150,19,24,7,2.143704,117.5,2,3,1,4,40,5640,2026-07-16 11:34:41
1200,17,27,6,2.134558,122.5,0,3,3,1,43,5890,2026-07-16 13:23:16
1250,23,18,9,2.131034,125.1,0,1,5,1,43,6140,2026-07-16 15:16:00
1300,29,13,8,2.109519,127.9,0,1,4,3,42,6390,2026-07-16 17:06:34
