game,start,w_wins,b_move,missing_queen,timestamp
200,+0.0287,+0.9760,-0.9579,+0.0273,2026-07-17 01:23:45
400,-0.0380,+0.9851,-0.9814,-0.0541,2026-07-17 08:36:22
600,-0.0182,+0.9887,-0.9799,-0.0198,2026-07-17 16:25:37
800,+0.0077,+0.9935,-0.9930,+0.0029,2026-07-18 00:06:04
1000,-0.0079,+0.9933,-0.9881,-0.0082,2026-07-18 07:15:37
1200,+0.0271,+0.9952,-0.9915,+0.0263,2026-07-20 05:17:57
1400,-0.0095,+0.9917,-0.9868,-0.0093,2026-07-21 00:22:49
1600,+0.0164,+0.9896,-0.9923,+0.0189,2026-07-21 07:27:05
1800,-0.0106,+0.9730,-0.9839,-0.0107,2026-07-21 14:15:27
2000,+0.0044,+0.9822,-0.9808,+0.0034,2026-07-21 20:56:53
2200,+0.0576,+0.9827,-0.9924,+0.0520,2026-07-22 04:09:17
2400,+0.0244,+0.9927,-0.9884,+0.0236,2026-07-22 11:08:00
2600,+0.0149,+0.9890,-0.9872,+0.0149,2026-07-22 18:35:53
2800,+0.0080,+0.9882,-0.9695,+0.0082,2026-07-23 01:55:31
3000,-0.0033,+0.9993,-0.9985,-0.0046,2026-07-23 09:21:38
3200,-0.0073,+0.9974,-0.9983,-0.0094,2026-07-23 16:44:26
