game,position,move1,pct1,move2,pct2,move3,pct3,move4,pct4,move5,pct5
50,start,e2e4,28.3%,g1h3,9.1%,e2e3,6.1%,g1f3,6.1%,h2h4,5.1%
50,after_e4,e7e5,16.2%,e7e6,13.1%,g8h6,10.1%,h7h5,6.1%,h7h6,6.1%
50,after_d4,e7e5,14.1%,f7f5,11.1%,e7e6,9.1%,g8h6,8.1%,b8c6,6.1%
50,italian_game,a2a3,7.1%,h2h4,5.1%,b2b3,5.1%,g2g4,5.1%,g2g3,4.0%
50,queens_gambit,b8c6,8.1%,g8h6,7.1%,e7e6,7.1%,f7f5,7.1%,a7a5,5.1%
100,start,g1h3,16.2%,e2e4,14.1%,e2e3,8.1%,g1f3,7.1%,g2g4,6.1%
100,after_e4,g8h6,24.2%,e7e6,16.2%,e7e5,8.1%,h7h5,6.1%,g8f6,5.1%
100,after_d4,g8h6,18.2%,e7e6,13.1%,b8c6,8.1%,f7f5,7.1%,h7h6,6.1%
100,italian_game,f3e5,7.1%,e1e2,7.1%,g2g4,6.1%,h2h4,6.1%,c2c3,5.1%
100,queens_gambit,b8c6,11.1%,g8h6,7.1%,f7f5,6.1%,c7c5,6.1%,f7f6,5.1%
150,start,e2e4,22.2%,e2e3,17.2%,g1h3,10.1%,g1f3,5.1%,b1c3,3.0%
150,after_e4,g8h6,17.2%,e7e6,17.2%,e7e5,15.2%,g7g6,5.1%,g8f6,5.1%
150,after_d4,e7e6,17.2%,g8h6,13.1%,b8c6,10.1%,f7f5,8.1%,g8f6,7.1%
150,italian_game,h2h3,7.1%,h2h4,6.1%,d2d3,6.1%,b2b3,6.1%,g2g4,5.1%
150,queens_gambit,g8h6,19.2%,f7f5,8.1%,g8f6,7.1%,e7e6,6.1%,f7f6,5.1%
200,start,e2e4,19.2%,e2e3,15.2%,g1h3,7.1%,b2b4,7.1%,g2g4,6.1%
200,after_e4,e7e5,18.2%,g8h6,12.1%,e7e6,10.1%,a7a5,8.1%,g7g5,6.1%
200,after_d4,e7e5,11.1%,g8h6,10.1%,e7e6,8.1%,h7h5,8.1%,f7f5,7.1%
200,italian_game,c2c3,7.1%,a2a3,6.1%,h2h4,5.1%,g2g4,5.1%,a2a4,5.1%
200,queens_gambit,g8h6,15.2%,h7h5,6.1%,b8c6,6.1%,f7f5,5.1%,e7e5,4.0%
250,start,e2e3,23.2%,e2e4,20.2%,b2b4,6.1%,g1f3,3.0%,g1h3,3.0%
250,after_e4,e7e6,25.3%,e7e5,14.1%,g7g6,7.1%,g8f6,6.1%,h7h5,4.0%
250,after_d4,e7e6,18.2%,e7e5,13.1%,g7g6,6.1%,f7f5,6.1%,b7b5,6.1%
250,italian_game,b2b4,8.1%,d2d3,5.1%,d1e2,5.1%,g2g3,5.1%,b2b3,5.1%
250,queens_gambit,e7e5,8.1%,h7h6,6.1%,g8h6,6.1%,e7e6,5.1%,h7h5,5.1%
