game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,6,0,19,0,0
100,6,0,22,0,0
150,3,0,26,2,0
200,5,0,26,1,0
250,6,0,25,0,0
300,6,0,20,2,0
350,5,0,22,1,1
400,5,0,20,0,0
450,5,0,13,1,1
500,2,0,17,1,1
550,5,0,13,0,0
600,4,0,18,0,0
650,8,0,11,1,0
700,3,0,15,1,0
750,6,0,12,1,0
800,9,0,10,1,0
850,4,0,14,0,0
900,8,0,13,2,0
950,6,0,10,0,0
1000,10,0,11,0,0
1050,5,0,10,1,0
1100,8,0,13,0,0
1150,8,0,19,0,0
1200,7,0,12,0,0
1250,5,0,12,1,0
1300,4,0,11,0,1
1350,7,0,12,0,0
1400,3,0,12,0,0
1450,5,0,9,1,1
1500,4,0,14,1,1
