game,avg_policy_loss,avg_value_loss,steps,timestamp
1050,1.207836,0.072857,5250,2026-09-04 23:50:21
1100,1.217054,0.072603,5500,2026-09-05 00:38:57
1150,1.216384,0.070811,5750,2026-09-05 01:28:44
1200,1.213329,0.072405,6000,2026-09-05 02:22:16
1250,1.235956,0.071769,6250,2026-09-05 03:15:22
1300,1.260005,0.068844,6500,2026-09-05 04:08:17
1350,1.279990,0.070064,6750,2026-09-05 05:06:30
1400,1.312219,0.071472,7000,2026-09-05 06:06:10
1450,1.342347,0.066936,7250,2026-09-05 07:06:42
1500,1.381796,0.066010,7500,2026-09-05 07:57:43
1550,1.387820,0.069084,7750,2026-09-07 03:53:18
1600,1.398469,0.067411,8000,2026-09-07 04:47:11
1650,1.377789,0.068271,8250,2026-09-07 05:36:46
1700,1.384569,0.069682,8500,2026-09-07 06:34:12
1750,1.376456,0.067594,8750,2026-09-07 07:27:29
1800,1.374055,0.069409,9000,2026-09-07 08:18:10
1850,1.391501,0.068276,9250,2026-09-07 09:41:13
1900,1.401607,0.067257,9500,2026-09-07 11:15:49
1950,1.393838,0.069012,9750,2026-09-07 12:26:23
2000,1.394548,0.066696,10000,2026-09-07 13:21:39
2050,1.428546,0.068792,10250,2026-09-07 14:17:19
2100,1.448874,0.065973,10500,2026-09-07 15:26:58
2150,1.487725,0.065894,10750,2026-09-07 16:43:15
2200,1.523603,0.068015,11000,2026-09-07 18:17:08
2250,1.547921,0.063568,11250,2026-09-07 19:41:43
2300,1.575428,0.065447,11500,2026-09-07 20:45:21
2350,1.600719,0.061539,11750,2026-09-07 21:55:01
2400,1.601874,0.062440,12000,2026-09-07 22:48:23
2450,1.614705,0.066631,12250,2026-09-07 23:40:06
2500,1.603750,0.062672,12500,2026-09-08 00:41:48
2550,1.600984,0.062385,12750,2026-09-08 01:38:55
2600,1.608110,0.061334,13000,2026-09-08 02:46:55
2650,1.608756,0.064617,13250,2026-09-08 03:47:40
2700,1.606683,0.064872,13500,2026-09-08 04:47:14
2750,1.602677,0.061954,13750,2026-09-08 05:50:36
2800,1.601442,0.063106,14000,2026-09-08 06:50:59
2850,1.599715,0.063559,14250,2026-09-08 07:49:44
