game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
1,B,checkmate,18,1.675823,5,2026-09-11 02:28:49,f2f4 g8h6 f4f5 a7a5 e2e4 e7e6 e1e2 b8c6 c2c3 e6f5 h2h4 d8e7 e4e5 g7g5 h4g5 e7e5 e2d3 e5e4
2,B,checkmate,32,1.697827,10,2026-09-11 02:31:39,h2h4 b7b6 a2a4 g8h6 g2g4 h6g4 h1h3 d7d6 e2e3 d8d7 b2b4 g7g6 f1e2 g4h2 c2c4 g6g5 b4b5 e8d8 e2f3 g5g4 d1c2 g4f3 g1f3 d7h3 f3e5 b8d7 e5d3 d7c5 b1a3 e7e6 d3b4 h3f1
3,B,checkmate,36,1.699674,15,2026-09-11 02:32:29,a2a4 g7g6 e2e3 g8f6 g1h3 e7e5 b1c3 a7a5 e1e2 b7b6 h3f4 e5f4 c3a2 c8a6 e2e1 g6g5 b2b4 b8c6 b4b5 f6d5 b5c6 f7f6 e3f4 d8e7 d1e2 g5f4 g2g4 a6e2 f1e2 a8a7 c1b2 f4f3 a2c3 d5c3 b2c3 e7e2
4,W,checkmate,37,1.735418,20,2026-09-11 02:32:41,a2a3 b8a6 g2g4 g8h6 d2d4 h6g4 f2f3 f7f5 e1d2 a6b4 a3b4 b7b5 c2c3 c8b7 h2h3 g4f2 h3h4 f2h1 d4d5 b7d5 c3c4 b5c4 e2e4 f5e4 f3e4 d5c6 e4e5 h1f2 e5e6 d7d6 f1e2 f2d1 d2d1 h7h6 e2h5 g7g6 h5g6
5,B,checkmate,60,1.723841,25,2026-09-11 02:37:55,e2e4 b8a6 d1f3 b7b5 d2d3 c7c6 g1h3 b5b4 h1g1 f7f6 h3g5 g8h6 f1e2 c6c5 g5f7 h6f7 e4e5 h7h6 b1d2 g7g5 f3a8 f7e5 g2g4 h8g8 a1b1 e5f7 g1g2 d7d5 h2h3 d5d4 a8f3 h6h5 c2c3 d4c3 g4h5 c3d2 c1d2 c8d7 g2g3 g5g4 a2a3 g4f3 e2f3 f8h6 a3b4 c5c4 f3d5 a6b4 d2b4 d7b5 b4d2 d8d5 d3c4 b5c4 g3e3 h6e3 d2e3 f7e5 e3d2 d5h1
6,B,material_adjudication,66,1.720673,30,2026-09-11 02:39:24,e2e3 a7a5 f2f4 a8a6 g2g3 a5a4 d1f3 d7d6 e3e4 c8g4 f3g4 h7h5 g4f3 d8d7 f1a6 b7a6 c2c3 h5h4 d2d3 g8f6 g1e2 h4g3 c1d2 d7b5 f3g2 b8c6 d3d4 a6a5 g2f3 h8h5 d4d5 h5h4 e2g3 c6d4 c3d4 b5b8 h1f1 g7g5 b2b4 a4b3 f4g5 b3b2 f3e2 b2a1q g5f6 a1b1 e1f2 b1a2 f6e7 f8e7 d2e3 a2e2 f2e2 b8b2 e2d3 e8d7 e3c1 b2a2 f1f2 a2f2 g3f5 h4h5 c1e3 f2h2 f5h4 h2h1
7,W,material_adjudication,66,1.718799,35,2026-09-11 02:39:25,a2a3 b8a6 f2f3 d7d5 d2d4 a8b8 e2e4 b7b5 e1e2 c7c5 c2c3 d8c7 c1e3 c5d4 a3a4 e7e5 e3d4 e5d4 b1d2 c7d6 e4e5 d4d3 e2e1 c8g4 e5d6 a6c7 b2b3 d5d4 f3g4 h7h6 d6c7 f7f6 g1f3 f8c5 a1a2 e8d7 c7b8q g8e7 h1g1 e7f5 c3c4 b5b4 g4f5 h8g8 d2b1 g8e8 f3e5 e8e5 e1d2 e5e4 d2d3 a7a6 d1d2 g7g6 d2d1 h6h5 b1d2 e4e3 d3c2 a6a5 d2f3 e3f3 d1f3 g6g5 f3e2 g5g4
8,W,material_adjudication,66,1.632720,40,2026-09-11 02:39:25,e2e4 b8c6 g2g4 g8h6 a2a4 h6g4 d1e2 c6d4 e2g4 h8g8 e1d1 d4c2 d1c2 f7f5 g4f4 g7g5 f4e3 h7h5 f1e2 f5e4 a4a5 e7e6 e2f1 a7a6 h2h3 b7b6 a5b6 d7d5 b6c7 d8d7 f2f3 d5d4 e3e2 e4f3 e2f3 g5g4 f3a8 d7c6 a8c6 c8d7 g1f3 d7c6 f3d4 f8c5 d4c6 c5d4 d2d3 g8h8 b1a3 h8h7 c6b8 e8f7 a3c4 d4c3 d3d4 c3d4 c1e3 d4e3 c4e3 e6e5 e3c4 h5h4 b2b4 f7e6 c4e3 h7h5
9,W,material_adjudication,66,1.722036,45,2026-09-11 02:39:26,a2a3 b8a6 a3a4 d7d6 c2c3 g7g5 f2f3 e8d7 c3c4 f7f6 h2h4 b7b6 b2b4 e7e6 g2g4 a6b4 e2e3 d8e7 f1e2 g5h4 e1f1 b4d5 c4d5 f6f5 a4a5 a7a6 d5e6 d7c6 e2d3 h7h6 d3c4 b6b5 g4f5 b5c4 c1b2 c8e6 f5e6 f8g7 d1c2 g7f6 f1f2 f6b2 c2b2 a8b8 b2c3 e7f6 c3c4 c6b7 b1c3 g8e7 g1e2 c7c6 a1g1 h8c8 f3f4 f6f5 c3d1 d6d5 c4c5 f5c2 c5c2 b7a8 c2d3 h6h5 d3c2 e7g6
10,B,material_adjudication,66,1.680228,50,2026-09-11 02:39:27,b2b4 a7a6 g1f3 a6a5 b1a3 h7h5 b4a5 h5h4 c2c3 a8a6 f3h4 c7c5 c1b2 b7b5 h4f5 h8h2 h1h2 b5b4 a3c4 g7g6 c4e5 g6f5 d1c2 f7f6 a1b1 d8c7 h2h4 d7d6 f2f4 d6e5 c3b4 e5f4 b2c3 c5b4 e2e4 b4c3 d2c3 f5e4 f1a6 c8a6 b1b8 c7b8 h4f4 b8f4 g2g3 f4f3 c2f2 e7e5 f2f3 e4f3 e1f2 e8e7 f2f3 e7e6 g3g4 f8e7 c3c4 e7d6 c4c5 d6c5 f3g2 c5d6 a2a3 a6b5 a5a6 b5a6
11,B,checkmate,40,1.683293,55,2026-09-11 02:40:49,h2h4 c7c6 h4h5 b7b5 a2a4 f7f6 g2g3 e7e5 d2d3 d8e7 a4b5 c6b5 b1c3 b8a6 c3b5 e8d8 g3g4 d7d5 b2b3 e7b4 c1d2 b4g4 a1a4 c8d7 f1h3 d8e7 c2c3 g4h5 a4a1 d7b5 h3g2 h5g4 d1c2 g4g2 a1a5 e5e4 c3c4 g2h1 c4b5 h1g1
12,B,material_adjudication,73,1.743763,60,2026-09-11 02:41:03,e2e3 e7e5 f1c4 c7c5 e1e2 a7a6 c2c3 a8a7 b2b4 e5e4 g2g4 b7b6 h2h4 e8e7 c1b2 d7d5 d1e1 e7e8 d2d3 e4d3 c4d3 c8g4 f2f3 g4c8 e2f1 b6b5 a2a4 c5b4 c3b4 a7b7 e1c3 d5d4 c3d4 a6a5 b4a5 d8d4 b2d4 b5b4 d3e2 f8d6 h4h5 b7c7 d4a7 c7a7 b1d2 c8e6 d2e4 d6e5 a1d1 g8f6 h5h6 f6e4 f3e4 g7h6 g1f3 e5f6 h1h6 b8d7 e4e5 f6g7 f3g5 g7h6 g5e6 f7e6 e3e4 d7c5 e2d3 c5a4 f1e2 e8d7 a5a6 a7a8 d1d2
13,W,material_adjudication_moderate,76,1.736583,65,2026-09-11 02:41:44,h2h4 b7b6 b2b3 g7g6 e2e4 f8g7 d2d4 c7c6 g2g4 f7f5 d1d2 g7f6 e1d1 e7e5 g4f5 e5d4 g1e2 d8e7 a2a4 e7e4 b1a3 e4e5 a3c4 c8a6 c4e5 f6g7 e5d3 d7d5 d2b4 c6c5 b4d2 g6f5 f1g2 a6b7 g2f3 g8f6 a1b1 h8f8 e2d4 c5d4 f3e2 b8a6 d3f4 g7h6 e2a6 h6f4 a6b7 f4d2 c1d2 a8c8 b7c8 a7a5 h1g1 h7h5 g1g5 f8h8 b1a1 h8h7 f2f4 e8d8 c8b7 d8e7 a1b1 e7f7 b3b4 a5b4 b1b3 h7h8 b7c8 h8c8 d2b4 c8c4 b4d2 c4a4 g5f5 f7g6
14,B,material_adjudication,77,1.690516,70,2026-09-11 02:42:59,h2h4 b7b6 b2b3 h7h5 h1h2 g8h6 c2c3 h6g8 e2e4 h8h7 g2g3 g7g6 d1f3 e7e5 a2a4 d7d5 f1h3 d5e4 f3e4 f8e7 e4a8 c8h3 g1h3 e8f8 f2f4 h7h8 f4f5 a7a5 f5g6 g8f6 c1a3 e7a3 b1a3 b8c6 a8d8 c6d8 g6g7 f8g7 h3g1 f6g4 h2g2 h8e8 d2d3 g4e3 e1f2 e3g2 f2g2 e8e7 g1f3 e5e4 d3e4 e7e6 e4e5 g7g6 a1d1 e6c6 g2h3 c6c3 b3b4 c3f3 h3g2 f3a3 b4a5 b6a5 g3g4 a3a4 g2g3 h5g4 d1d5 c7c6 d5a5 a4a5 g3g4 a5e5 h4h5 g6g7 g4f4
15,W,checkmate,29,1.730135,75,2026-09-11 02:44:35,d2d3 h7h6 b2b3 c7c5 e2e3 g7g6 a2a4 a7a5 d1g4 e7e5 e1d1 d8f6 g4e2 f8g7 g2g4 g8e7 d1e1 g6g5 d3d4 c5d4 e3d4 b8c6 d4e5 c6e5 h2h4 e5g4 c1g5 f6a1 e2e7
