game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-0.6385,-0.5021,-0.1192,+0.0372,-0.3601,+0.7794,+0.4990,2026-09-11 10:41:41
40,-0.6692,-0.5057,-0.1146,+0.0412,-0.4104,+0.8384,+0.5389,2026-09-11 11:14:30
60,-0.6538,-0.4608,-0.0935,+0.0424,-0.3827,+0.8650,+0.5292,2026-09-11 11:56:00
80,-0.6398,-0.4023,-0.1239,+0.0371,-0.3331,+0.8365,+0.5146,2026-09-11 12:21:53
100,-0.6253,-0.4570,-0.1157,+0.0013,-0.3756,+0.8069,+0.5011,2026-09-11 12:59:19
120,-0.6480,-0.4213,-0.0890,-0.0026,-0.3732,+0.8096,+0.5050,2026-09-11 13:41:00
140,-0.6442,-0.4744,-0.0659,+0.0343,-0.3853,+0.7918,+0.5060,2026-09-11 14:23:59
160,-0.6685,-0.4777,-0.0846,+0.0395,-0.3210,+0.8014,+0.5442,2026-09-11 14:47:16
180,-0.6050,-0.4122,-0.0841,+0.0143,-0.3404,+0.7753,+0.5189,2026-09-11 15:15:18
200,-0.6612,-0.4876,-0.1370,+0.0124,-0.3585,+0.7904,+0.5098,2026-09-11 15:36:57
220,-0.6458,-0.4586,-0.0670,+0.0145,-0.3388,+0.7993,+0.5249,2026-09-11 16:00:18
240,-0.6107,-0.3988,-0.0830,-0.0150,-0.3982,+0.8132,+0.4775,2026-09-11 16:26:48
260,-0.6574,-0.4564,-0.1176,-0.0179,-0.3984,+0.8003,+0.5542,2026-09-11 16:53:06
280,-0.6862,-0.4433,-0.1061,-0.0204,-0.3555,+0.8089,+0.5540,2026-09-11 17:14:54
300,-0.6093,-0.3995,-0.0869,-0.0055,-0.3605,+0.8195,+0.5290,2026-09-11 17:51:21
320,-0.6711,-0.5109,-0.1021,+0.0067,-0.4175,+0.8358,+0.5076,2026-09-11 18:24:43
340,-0.5774,-0.4891,-0.1108,+0.0877,-0.3658,+0.8140,+0.4617,2026-09-11 18:56:14
360,-0.6537,-0.5738,-0.0908,+0.0397,-0.2872,+0.7769,+0.4883,2026-09-11 19:38:50
380,-0.6338,-0.4881,-0.0827,+0.0543,-0.2585,+0.8286,+0.4897,2026-09-11 20:14:05
400,-0.6667,-0.5033,-0.0974,+0.0586,-0.3697,+0.8084,+0.5101,2026-09-11 20:47:04
420,-0.6379,-0.4988,-0.0765,+0.0284,-0.3336,+0.8006,+0.5168,2026-09-11 21:24:41
440,-0.6647,-0.4890,-0.1012,+0.0410,-0.3854,+0.7707,+0.4726,2026-09-11 21:56:31
460,-0.6644,-0.4935,-0.1881,+0.0133,-0.3779,+0.8012,+0.5041,2026-09-11 22:29:53
480,-0.6100,-0.5022,-0.0659,+0.0574,-0.3518,+0.7851,+0.5277,2026-09-11 23:06:39
500,-0.5920,-0.4812,-0.0880,+0.0558,-0.3783,+0.8018,+0.5378,2026-09-11 23:43:52
520,-0.6090,-0.5187,-0.0922,+0.0436,-0.3344,+0.7926,+0.5161,2026-09-12 00:14:08
540,-0.6271,-0.4846,-0.1130,+0.0541,-0.3905,+0.8020,+0.5075,2026-09-12 00:52:00
560,-0.6422,-0.5226,-0.1473,+0.0428,-0.3912,+0.8182,+0.5394,2026-09-12 01:27:28
580,-0.6384,-0.5338,-0.1254,+0.0569,-0.3590,+0.8221,+0.5388,2026-09-12 02:04:06
