episode,hal1_wins,hal2_wins,draws,hal1_epsilon,hal2_epsilon,avg_loss,avg_game_length
500,269,228,3,0.9512,0.9512,0.072696,21.5
1000,263,235,2,0.9048,0.9048,0.137797,21.9
1500,269,230,1,0.8607,0.8607,0.161942,21.8
2000,284,215,1,0.8187,0.8187,0.161981,22.9
2500,265,235,0,0.7788,0.7788,0.183978,23.1
3000,263,236,1,0.7408,0.7408,0.180062,23.8
3500,228,271,1,0.7047,0.7047,0.175191,24.1
4000,255,244,1,0.6703,0.6703,0.156501,24.4
4500,288,211,1,0.6376,0.6376,0.147897,24.3
5000,261,238,1,0.6065,0.6065,0.144717,24.5
5500,276,222,2,0.5769,0.5769,0.154359,25.3
6000,253,244,3,0.5488,0.5488,0.134604,26.0
6500,264,233,3,0.522,0.522,0.126384,24.5
7000,228,270,2,0.4966,0.4966,0.11627,24.6
7500,246,253,1,0.4723,0.4723,0.1129,24.7
8000,243,253,4,0.4493,0.4493,0.104309,25.1
8500,253,245,2,0.4274,0.4274,0.096485,24.7
9000,243,256,1,0.4066,0.4066,0.090508,25.5
9500,258,240,2,0.3867,0.3867,0.088074,25.8
10000,243,254,3,0.3679,0.3679,0.085944,25.3
10500,220,278,2,0.3499,0.3499,0.079789,24.8
11000,243,254,3,0.3329,0.3329,0.076006,24.7
11500,235,263,2,0.3166,0.3166,0.075193,25.6
12000,251,249,0,0.3012,0.3012,0.075485,25.4
12500,256,244,0,0.2865,0.2865,0.072563,25.5
13000,247,249,4,0.2725,0.2725,0.070515,25.4
13500,233,265,2,0.2592,0.2592,0.066713,24.8
14000,226,270,4,0.2466,0.2466,0.06711,24.6
14500,230,269,1,0.2346,0.2346,0.066818,24.4
15000,264,235,1,0.2231,0.2231,0.064222,24.9
15500,251,246,3,0.2122,0.2122,0.065052,25.1
16000,253,244,3,0.2019,0.2019,0.063509,24.8
16500,271,229,0,0.192,0.192,0.062619,23.8
17000,265,231,4,0.1827,0.1827,0.061142,24.4
17500,253,245,2,0.1738,0.1738,0.059674,24.6
18000,240,254,6,0.1653,0.1653,0.058275,25.0
18500,284,213,3,0.1572,0.1572,0.060354,22.9
19000,257,242,1,0.1496,0.1496,0.063738,24.9
19500,285,212,3,0.1423,0.1423,0.06173,24.7
20000,233,261,6,0.1353,0.1353,0.063786,24.4
20500,275,225,0,0.1287,0.1287,0.061088,24.7
21000,261,237,2,0.1224,0.1224,0.059986,23.9
21500,267,229,4,0.1165,0.1165,0.057458,23.9
22000,286,209,5,0.1108,0.1108,0.057901,23.9
22500,299,197,4,0.1054,0.1054,0.059148,23.7
23000,284,211,5,0.1002,0.1002,0.057166,23.8
23500,274,223,3,0.0954,0.0954,0.059449,24.1
24000,263,236,1,0.0907,0.0907,0.062684,23.4
24500,293,206,1,0.0863,0.0863,0.06214,23.6
25000,259,240,1,0.0821,0.0821,0.061187,23.1
25500,282,218,0,0.0781,0.0781,0.063528,24.3
26000,313,186,1,0.0743,0.0743,0.063565,23.1
26500,292,203,5,0.0706,0.0706,0.064003,22.5
27000,283,216,1,0.0672,0.0672,0.064539,23.8
27500,312,186,2,0.0639,0.0639,0.062639,23.4
28000,321,178,1,0.0608,0.0608,0.062942,22.0
28500,307,191,2,0.0578,0.0578,0.063444,23.0
29000,301,196,3,0.055,0.055,0.065154,22.6
29500,308,192,0,0.0523,0.0523,0.064707,23.1
30000,305,194,1,0.0498,0.0498,0.063527,23.1
30500,307,192,1,0.0474,0.0474,0.06408,21.9
31000,362,138,0,0.045,0.045,0.06725,20.4
31500,325,174,1,0.0428,0.0428,0.067997,22.2
32000,290,209,1,0.0408,0.0408,0.067751,23.2
32500,282,217,1,0.0388,0.0388,0.066048,22.9
33000,326,172,2,0.0369,0.0369,0.067126,22.4
33500,318,182,0,0.0351,0.0351,0.066751,22.7
34000,318,181,1,0.0334,0.0334,0.065551,22.8
34500,323,176,1,0.0317,0.0317,0.065576,23.2
35000,385,114,1,0.0302,0.0302,0.065905,22.7
35500,334,165,1,0.0287,0.0287,0.074345,22.0
36000,320,180,0,0.0273,0.0273,0.088152,22.2
36500,292,205,3,0.026,0.026,0.089947,24.0
37000,292,207,1,0.0247,0.0247,0.091418,23.4
37500,310,188,2,0.0235,0.0235,0.095772,22.4
38000,317,183,0,0.0224,0.0224,0.115447,21.5
38500,334,166,0,0.0213,0.0213,0.112807,22.0
39000,327,173,0,0.0202,0.0202,0.097819,21.3
39500,397,102,1,0.02,0.02,0.096732,21.1
40000,291,209,0,0.02,0.02,0.103406,22.2
40500,318,182,0,0.02,0.02,0.142187,20.0
41000,365,134,1,0.02,0.02,0.206133,20.3
41500,295,205,0,0.02,0.02,0.242611,23.3
42000,362,137,1,0.02,0.02,0.262929,21.1
42500,329,170,1,0.02,0.02,0.236505,21.0
43000,340,160,0,0.02,0.02,0.235594,21.3
43500,349,151,0,0.02,0.02,0.232692,22.2
44000,330,170,0,0.02,0.02,0.250287,20.8
44500,326,174,0,0.02,0.02,0.313822,20.1
45000,382,118,0,0.02,0.02,0.442241,20.9
45500,365,135,0,0.02,0.02,0.715791,18.7
46000,405,95,0,0.02,0.02,0.67317,18.9
46500,411,89,0,0.02,0.02,0.510909,18.5
47000,375,124,1,0.02,0.02,0.527693,21.3
47500,384,116,0,0.02,0.02,0.626819,21.6
48000,418,82,0,0.02,0.02,0.789669,20.5
48500,438,62,0,0.02,0.02,0.846165,20.8
49000,407,93,0,0.02,0.02,0.75109,20.5
49500,410,90,0,0.02,0.02,0.822224,19.0
50000,408,92,0,0.02,0.02,0.92393,20.1
