episode,x_wins,o_wins,draws,x_win_rate,o_win_rate,draw_rate,epsilon,hal_x_states,hal_o_states
1000,573,306,121,0.573,0.306,0.121,0.904833,2683,2682
2000,561,297,142,0.561,0.297,0.142,0.818723,3646,3645
3000,579,287,134,0.579,0.287,0.134,0.740807,4070,4069
4000,589,282,129,0.589,0.282,0.129,0.670307,4295,4294
5000,572,312,116,0.572,0.312,0.116,0.606515,4402,4401
6000,573,298,129,0.573,0.298,0.129,0.548795,4451,4450
7000,511,337,152,0.511,0.337,0.152,0.496568,4484,4483
8000,567,274,159,0.567,0.274,0.159,0.449311,4500,4499
9000,502,316,182,0.502,0.316,0.182,0.406551,4508,4507
10000,497,322,181,0.497,0.322,0.181,0.367861,4513,4512
11000,500,279,221,0.5,0.279,0.221,0.332853,4515,4514
12000,488,264,248,0.488,0.264,0.248,0.301176,4517,4516
13000,462,266,272,0.462,0.266,0.272,0.272514,4519,4518
14000,439,269,292,0.439,0.269,0.292,0.24658,4520,4519
15000,441,243,316,0.441,0.243,0.316,0.223113,4520,4519
16000,421,248,331,0.421,0.248,0.331,0.20188,4520,4519
17000,413,269,318,0.413,0.269,0.318,0.182668,4520,4519
18000,407,217,376,0.407,0.217,0.376,0.165284,4520,4519
19000,400,242,358,0.4,0.242,0.358,0.149554,4520,4519
20000,428,195,377,0.428,0.195,0.377,0.135322,4520,4519
21000,382,214,404,0.382,0.214,0.404,0.122444,4520,4519
22000,361,215,424,0.361,0.215,0.424,0.110791,4520,4519
23000,374,222,404,0.374,0.222,0.404,0.100247,4520,4519
24000,372,225,403,0.372,0.225,0.403,0.090707,4520,4519
25000,347,192,461,0.347,0.192,0.461,0.082075,4520,4519
26000,363,198,439,0.363,0.198,0.439,0.074264,4520,4519
27000,350,216,434,0.35,0.216,0.434,0.067196,4520,4519
28000,337,206,457,0.337,0.206,0.457,0.060802,4520,4519
29000,343,190,467,0.343,0.19,0.467,0.055015,4520,4519
30000,347,196,457,0.347,0.196,0.457,0.04978,4520,4519
