game,moves
1,g2g3 a7a5 a2a4 f7f6 b2b3 d7d5 d2d4 d8d7 c2c3 c7c5 c1g5 d7a4
2,d2d3 c7c6 b1c3 f7f5 h2h4 a7a6 g2g3 a8a7 c1g5 b7b6 h4h5 d7d6
3,a2a3 e7e6 h2h4 f8e7 e2e3 e7g5 g2g4 g5e3 f2f4 b8c6 a3a4 c6d4
4,b2b4 f7f5 f2f4 b7b5 d2d3 h7h5 g1f3 a7a6 f3h4 h8h7 h2h3 g8f6
5,d2d4 g7g6 c1h6 g6g5 b1c3 b7b6 e2e3 c8b7 h2h3 f8h6 b2b3 b7d5
6,b1c3 e7e6 a1b1 g8h6 b1a1 g7g5 c3a4 h6f5 g1h3 d8f6 c2c3 h8g8
7,c2c4 g8h6 h2h4 g7g6 e2e4 f7f5 g2g3 f8g7 d1h5 g7b2 g1e2 h6g4
8,a2a3 g8h6 e2e3 f7f5 b1c3 h6g4 g2g3 b7b6 c3e4 b6b5 f1b5 b8a6
9,d2d4 h7h6 c2c4 g8f6 c1e3 b8c6 a2a3 b7b6 f2f3 f6h7 a3a4 a7a5
10,d2d4 g8h6 g1h3 b7b6 b2b3 b8c6 c2c3 c8a6 e2e4 d7d5 a2a3 a6b5
11,g2g4 h7h6 h2h4 e7e6 h1h3 g7g5 b2b3 f7f6 e2e3 f8d6 f1a6 b7b6
12,b2b3 g7g6 h2h4 d7d6 g1h3 e7e6 g2g4 g8e7 g4g5 c7c5 e2e4 b7b6
13,h2h4 e7e6 h1h2 b7b6 c2c4 g8e7 f2f4 a7a5 d1c2 a8a7 e1f2 e6e5
14,c2c3 d7d6 g1h3 a7a6 e2e4 e7e6 d1f3 g8h6 f3e3 f7f6 f1a6 b8c6
15,d2d4 g7g5 g1h3 e7e6 c1d2 b7b6 d2g5 a7a6 d4d5 g8h6 d1d3 f8g7
16,h2h3 e7e6 a2a3 b7b6 h1h2 a7a6 h3h4 g8h6 g1h3 f8d6 b2b4 e6e5
17,f2f4 e7e6 d2d4 a7a5 g1h3 b8c6 e2e3 f8b4 e1e2 d7d6 d1d3 b7b6
18,g1h3 e7e6 c2c4 d7d6 h3f4 e8e7 d2d4 c7c6 g2g4 d8e8 g4g5 e7d8
19,b2b4 g7g5 b4b5 f7f5 g2g4 a7a6 e2e3 d7d6 f2f4 b8d7 c2c3 c7c5
20,c2c3 h7h6 d1b3 e7e6 f2f4 h8h7 a2a3 b8c6 g2g3 e8e7 e2e3 d7d5
21,b2b4 d7d6 g1h3 a7a5 h1g1 b7b6 e2e4 b8c6 a2a3 f7f5 c2c4 g7g5
22,b2b4 a7a6 e2e4 e7e6 c1a3 d7d6 a3b2 a8a7 g2g4 g7g6 e1e2 a7a8
23,b1a3 e7e6 e2e3 d7d6 b2b3 b7b6 a3b1 d8d7 g1f3 f7f6 f1c4 g8h6
24,g1h3 c7c5 d2d3 d7d6 f2f3 b7b6 h3g5 a7a6 h1g1 h7h6 e1f2 f7f6
25,g1h3 d7d6 a2a3 g8h6 f2f3 e7e6 c2c3 a7a6 h1g1 b7b6 b2b3 b8c6
26,e2e4 e7e6 g1h3 f8e7 h1g1 d7d6 e4e5 g8h6 f1a6 b8c6 d1h5 h6f5
