game,position,move1,pct1,move2,pct2,move3,pct3,move4,pct4,move5,pct5
200,start,g1h3,14.0%,b2b4,13.0%,a2a3,12.0%,d2d4,8.0%,c2c3,7.0%
200,after_e4,e7e6,13.0%,f7f6,13.0%,d7d6,13.0%,a7a6,11.0%,b7b6,8.0%
200,after_d4,e7e6,13.0%,f7f6,13.0%,d7d6,13.0%,b8c6,9.0%,a7a6,8.0%
200,italian_game,a2a3,13.0%,b2b4,13.0%,d2d4,12.0%,d2d3,10.0%,b1c3,9.0%
200,queens_gambit,f7f6,13.0%,e7e6,13.0%,b8c6,11.0%,a7a6,9.0%,b7b6,9.0%
300,start,a2a3,13.0%,g1h3,13.0%,b2b4,12.0%,c2c3,8.0%,d2d3,7.0%
300,after_e4,e7e6,13.0%,d7d6,13.0%,a7a6,12.0%,f7f6,11.0%,b7b6,9.0%
300,after_d4,d7d6,13.0%,f7f6,13.0%,a7a6,11.0%,e7e6,11.0%,b7b6,10.0%
300,italian_game,a2a3,13.0%,d2d4,13.0%,d2d3,13.0%,b1c3,12.0%,b2b4,12.0%
300,queens_gambit,f7f6,13.0%,b8c6,13.0%,e7e6,12.0%,b7b6,11.0%,a7a6,9.0%
400,start,g1h3,13.0%,b2b4,10.0%,g2g4,9.0%,a2a3,9.0%,e2e3,7.0%
400,after_e4,d7d6,13.0%,b8c6,10.0%,g8h6,10.0%,e7e6,10.0%,a7a6,9.0%
400,after_d4,d7d6,13.0%,b8c6,13.0%,e7e6,11.0%,b7b6,11.0%,f7f6,9.0%
400,italian_game,a2a3,13.0%,g2g4,13.0%,b2b4,13.0%,d2d4,11.0%,d2d3,11.0%
400,queens_gambit,b8c6,13.0%,a7a6,12.0%,e7e6,12.0%,f7f6,10.0%,b7b6,9.0%
500,start,g1h3,13.0%,b2b4,12.0%,a2a3,12.0%,d2d4,7.0%,d2d3,6.0%
500,after_e4,d7d6,13.0%,a7a6,12.0%,g8h6,11.0%,e7e6,10.0%,b8c6,9.0%
500,after_d4,d7d6,12.0%,b8c6,12.0%,g8h6,10.0%,f7f6,10.0%,b7b6,10.0%
500,italian_game,a2a3,13.0%,d2d4,13.0%,b2b4,13.0%,b1c3,12.0%,d2d3,9.0%
500,queens_gambit,a7a6,13.0%,b8c6,13.0%,f7f6,11.0%,e7e6,10.0%,g8h6,9.0%
600,start,b2b4,13.0%,a2a3,13.0%,g1h3,12.0%,d2d3,7.0%,d2d4,6.0%
600,after_e4,a7a6,13.0%,g8h6,12.0%,d7d6,11.0%,b7b6,9.0%,b8c6,9.0%
600,after_d4,b7b6,11.0%,a7a6,11.0%,b8c6,11.0%,e7e6,10.0%,g8h6,9.0%
600,italian_game,a2a3,13.0%,b2b4,13.0%,d2d3,11.0%,d2d4,10.0%,b1c3,10.0%
600,queens_gambit,a7a6,13.0%,f7f6,12.0%,b8c6,11.0%,g8h6,10.0%,e7e6,10.0%
700,start,g1h3,13.0%,b2b4,10.0%,a2a3,9.0%,c2c3,7.0%,b1c3,7.0%
700,after_e4,g8h6,13.0%,h7h6,11.0%,e7e6,10.0%,b7b6,9.0%,a7a6,9.0%
700,after_d4,b8c6,13.0%,g8h6,12.0%,h7h6,11.0%,e7e6,10.0%,b7b6,9.0%
700,italian_game,a2a3,13.0%,b2b4,11.0%,d2d4,11.0%,b1c3,11.0%,g2g4,10.0%
700,queens_gambit,e7e6,13.0%,b8c6,12.0%,g8h6,11.0%,a7a6,11.0%,h7h6,11.0%
800,start,g1h3,13.0%,b2b4,13.0%,a2a3,10.0%,g2g4,7.0%,d2d4,6.0%
800,after_e4,g8h6,13.0%,d7d6,12.0%,b8c6,11.0%,f7f6,8.0%,a7a6,8.0%
800,after_d4,b8c6,13.0%,d7d6,12.0%,g8h6,10.0%,e7e6,9.0%,f7f6,8.0%
800,italian_game,b2b4,13.0%,a2a3,13.0%,d2d4,12.0%,d2d3,9.0%,b1c3,9.0%
800,queens_gambit,b8c6,13.0%,g8h6,11.0%,e7e6,11.0%,a7a6,10.0%,h7h6,9.0%
900,start,g1h3,13.0%,b2b4,12.0%,a2a3,12.0%,d2d4,7.0%,d2d3,7.0%
900,after_e4,d7d6,12.0%,g8h6,11.0%,e7e6,11.0%,b7b6,10.0%,f7f6,10.0%
900,after_d4,e7e6,13.0%,d7d6,12.0%,b7b6,9.0%,g8h6,9.0%,f7f6,9.0%
900,italian_game,a2a3,13.0%,d2d4,13.0%,d2d3,13.0%,b1c3,10.0%,b2b4,10.0%
900,queens_gambit,b8c6,13.0%,e7e6,13.0%,f7f6,12.0%,a7a6,12.0%,b7b6,10.0%
1000,start,b2b4,13.0%,a2a3,13.0%,g1h3,12.0%,b1c3,7.0%,d2d4,6.0%
1000,after_e4,g8h6,13.0%,b8c6,10.0%,g7g6,10.0%,d7d6,10.0%,e7e6,9.0%
1000,after_d4,b8c6,13.0%,e7e6,11.0%,g8h6,11.0%,d7d6,11.0%,g7g6,9.0%
1000,italian_game,b1c3,13.0%,d2d4,13.0%,a2a3,13.0%,b2b4,11.0%,d2d3,11.0%
1000,queens_gambit,b8c6,13.0%,g8h6,13.0%,e7e6,13.0%,b7b6,8.0%,h7h6,8.0%
1100,start,g1h3,13.0%,a2a3,12.0%,b2b4,11.0%,g2g4,7.0%,d2d4,6.0%
1100,after_e4,g8h6,13.0%,b7b6,11.0%,e7e6,11.0%,f7f6,9.0%,b8c6,8.0%
1100,after_d4,e7e6,13.0%,g8h6,13.0%,f7f6,11.0%,b7b6,10.0%,b8c6,9.0%
1100,italian_game,a2a3,14.0%,g2g4,12.0%,d2d4,11.0%,b2b4,10.0%,b1c3,10.0%
1100,queens_gambit,g8h6,13.0%,b8c6,13.0%,e7e6,13.0%,f7f6,10.0%,b7b6,9.0%
