game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus
100,46,41,13,3.573498,84.0,5,11,22,15,47
200,43,45,12,3.780450,76.6,8,23,12,14,43
300,40,51,9,3.768536,69.2,6,27,14,16,37
400,42,56,2,3.774645,67.8,12,20,11,19,38
500,20,20,3,3.742548,60.2,10,7,7,5,14
600,38,54,8,3.761320,63.4,16,23,17,13,31
700,48,49,3,3.769122,61.1,13,27,14,19,27
800,39,56,5,3.748049,59.5,9,33,20,10,28
900,44,52,4,3.759955,55.6,15,28,20,17,20
1000,48,47,5,3.739409,59.8,15,22,23,17,23
1100,52,44,4,3.750361,55.5,15,31,21,12,21
1200,51,46,3,3.733704,58.6,17,24,20,10,29
1300,44,49,7,3.738278,63.3,11,21,25,16,27
1400,38,57,5,3.713144,60.0,13,30,18,10,29
1500,40,57,3,3.704284,52.0,21,24,21,15,19
1600,44,48,8,3.690443,55.3,17,28,18,13,24
1700,40,54,6,3.709092,56.3,19,29,13,13,26
1800,55,43,2,3.694092,48.1,25,29,16,16,14
1900,39,55,6,3.671243,50.8,21,30,22,10,17
2000,41,57,2,3.639698,51.1,21,31,18,10,20
2100,38,59,3,3.612090,46.3,25,37,14,6,18
2200,40,58,2,3.639823,43.7,27,35,15,10,13
2300,40,59,1,3.611072,46.6,25,32,15,10,18
