game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,1,47,0,2,0
100,1,41,0,8,0
150,0,42,0,8,0
200,0,47,0,3,0
250,1,39,4,6,0
300,2,37,8,3,0
350,1,37,8,4,0
400,2,34,6,8,0
450,0,35,9,6,0
500,0,35,7,8,0
550,1,38,6,5,0
600,1,38,6,5,0
650,0,38,6,6,0
700,1,36,7,6,0
750,1,31,10,8,0
800,0,36,5,9,0
850,0,36,3,11,0
900,0,35,6,9,0
950,0,40,3,7,0
1000,0,37,5,8,0
1050,0,37,6,7,0
1100,0,31,12,7,0
1150,0,39,5,6,0
1200,0,40,8,2,0
1250,2,35,9,4,0
1300,0,38,5,7,0
1350,2,27,8,13,0
1400,0,34,11,5,0
1450,0,35,8,7,0
1500,0,35,6,9,0
1550,0,37,7,6,0
1600,0,34,10,6,0
1650,0,32,12,6,0
1700,0,38,7,5,0
1750,0,35,9,6,0
1800,0,33,9,8,0
1850,0,35,9,6,0
1900,1,32,9,8,0
1950,0,32,9,9,0
2000,0,35,8,7,0
2050,1,38,3,8,0
2100,0,43,5,2,0
2150,1,35,8,6,0
2200,0,38,7,5,0
2250,0,29,12,9,0
2300,1,35,10,4,0
2350,0,38,6,6,0
2400,1,34,11,4,0
2450,0,36,8,6,0
2500,1,32,8,9,0
2550,0,31,13,6,0
2600,0,38,7,5,0
2650,0,33,11,6,0
2700,1,34,10,5,0
2750,0,34,10,6,0
2800,0,37,9,4,0
2850,0,38,5,7,0
2900,0,38,6,6,0
2950,0,35,11,4,0
3000,1,36,9,4,0
3050,0,35,12,3,0
3100,0,30,11,9,0
3150,0,33,7,10,0
3200,1,39,7,3,0
3250,1,31,14,4,0
3300,0,35,6,9,0
3350,0,36,11,3,0
3400,0,37,7,6,0
3450,0,37,8,5,0
3500,0,37,11,2,0
3550,0,36,11,3,0
3600,0,39,8,3,0
3650,0,35,12,3,0
3700,0,32,14,4,0
3750,0,31,13,6,0
3800,0,32,13,5,0
3850,0,36,9,5,0
3900,0,31,14,5,0
3950,0,33,12,5,0
4000,0,35,9,6,0
4050,0,31,13,6,0
4100,0,34,11,5,0
4150,1,34,13,2,0
4200,1,35,12,2,0
4250,1,31,12,6,0
4300,0,34,9,7,0
4350,0,32,14,4,0
4400,1,36,9,4,0
4450,2,37,8,3,0
4500,0,33,11,6,0
4550,0,35,8,7,0
4600,0,28,20,2,0
4650,0,33,12,5,0
4700,1,40,8,1,0
4750,0,32,11,7,0
4800,0,34,9,7,0
4850,0,30,14,6,0
4900,0,38,11,1,0
4950,0,34,11,5,0
5000,0,41,7,2,0
