game,moves
1,h2h4 c7c6 b2b3 b7b6 d2d4 h7h6 e1d2 c6c5 b1c3 d8c7 e2e3 c7h2
2,g2g4 f7f6 b1a3 a7a5 a3b1 e7e5 f1g2 f6f5 g4f5 f8c5 g2d5 a5a4
3,g2g4 g7g5 a2a4 f8g7 g1h3 b8c6 b1c3 c6d4 e2e4 d4b3 f1e2 g7c3
4,f2f3 a7a6 f3f4 c7c6 g2g4 a6a5 b1a3 f7f6 g4g5 b7b6 f1h3 a8a6
5,d2d3 g7g5 g1h3 b8c6 e2e3 c6e5 e1e2 e5f3 g2g4 d7d6 h1g1 c8e6
6,b2b3 d7d6 h2h3 c8h3 g2g3 h3f5 d2d4 b7b5 c1h6 f5h3 f1h3 a7a5
7,h2h3 g7g5 b2b4 g8f6 g2g4 b8a6 c2c4 d7d5 c4d5 b7b5 a2a3 c8d7
8,h2h3 f7f6 a2a4 a7a5 e2e3 g7g5 d2d4 a8a7 d1h5
9,g2g4 f7f6 b2b4 b8a6 e2e4 e7e6 a2a4 a8b8 h2h3 e8f7 f1g2 a6c5
10,g1h3 f7f6 h1g1 e8f7 a2a3 g7g6 d2d4 c7c5 d4c5 f8h6 b2b4 f7f8
11,c2c4 g7g6 g1f3 b7b5 b1a3 g8h6 f3d4 h6g4 g2g3 b8a6 d1a4 a6b4
12,b1c3 f7f6 h2h3 c7c5 c3b5 g7g5 b5c3 g8h6 c3a4 g5g4 a4b6 a7a5
13,e2e4 f7f6 d1h5 g7g6 a2a3 f8h6 e4e5 f6f5 e5e6 a7a6 h5f5 h6g7
14,g1f3 b8a6 d2d3 g8f6 e2e4 h8g8 b2b3 b7b5 f3h4 e7e5 e1e2 h7h5
15,g1f3 c7c6 g2g3 d7d6 f3g5 c8d7 e2e3 h7h6 g5e6 g8f6 b1a3 f6d5
16,e2e3 b7b5 d1g4 c7c5 e1e2 b8a6 f2f3 c5c4 e2e1 d8c7 d2d4 c8b7
17,e2e4 b8c6 d1g4 a8b8 e1e2 f7f6 b1a3 c6e5 a3c4 c7c6 c4a3 d8a5
18,g2g3 a7a5 f2f3 e7e6 d2d4 d7d6 b2b4 d8g5 e1f2 g5b5 c1d2 b5h5
19,g2g4 e7e5 e2e3 f7f5 f1h3 e8e7 e1f1 b8a6 d1f3 b7b5 b1c3 e7f7
20,f2f3 e7e5 e1f2 b8c6 h2h3 c6d4 b1a3 h7h6 h3h4 d4f5 h1h2 g7g5
21,c2c4 e7e5 g2g4 g7g5 e2e4 d8e7 e1e2 d7d6 e2e3 e8d8 d2d4 c7c6
22,e2e3 e7e5 d1e2 e5e4 e1d1 f8c5 a2a4 e8f8 e2b5 d8f6 d1e1 c5d6
23,e2e3 g7g5 e1e2 e7e5 d2d3 f8e7 e3e4 b7b5 f2f3 d7d5 c1d2 e8f8
24,g2g4 g7g5 b1a3 a7a5 g1h3 f8h6 e2e3 c7c5 b2b3 e8f8 e1e2 b8a6
25,g2g4 g7g5 f2f3 e7e5 h2h3 f8e7 e1f2 g8f6 b1a3 e8f8 d1e1 a7a5
26,e2e3 g7g5 b2b3 g8f6 g2g4 a7a5 d1f3 c7c6 a2a3 f6g4 f3g3 d8c7
27,e2e3 b8c6 b2b3 g7g5 c2c3 e7e6 g2g4 b7b6 b3b4 d8f6 d2d4 f6f5
28,g2g4 g7g5 b2b4 c7c5 d2d4 h7h5 e2e3 g8f6 g1h3 b8a6 h3g5 h8h7
29,g2g4 g7g5 a2a4 a7a5 g1f3 h7h6 b2b4 a8a6 h2h4 g8f6 h1g1 h8h7
30,g2g4 f7f6 b2b3 e7e5 e2e4 a7a5 e1e2 g7g5 e2e3 h7h6 b1c3 c7c5
31,e2e3 g7g5 g2g3 e7e5 b1a3 a7a5 e1e2 c7c5 d1e1 b7b6 e2d3 f7f5
32,g2g4 d7d6 a2a3 g7g5 g1f3 e7e5 h1g1 b7b6 f3g5 g8f6 d2d4 f6e4
33,c2c4 g7g5 g2g4 f7f6 e2e4 f6f5 g1h3 e8f7 e1e2 b8a6 a2a3 b7b6
34,e2e3 h7h5 g1h3 h8h7 g2g4 g8f6 d2d4 g7g5 f1d3 b7b5 e1e2 b5b4
35,g2g4 g7g5 d2d4 b7b6 c1f4 f8g7 a2a3 e8f8 a1a2 c7c5 f1h3 e7e5
36,f2f4 g7g5 b2b3 e7e6 a2a4 b8a6 b1a3 c7c6 g1h3 g8e7 b3b4 d8a5
37,g2g4 g7g5 b1a3 g8f6 a1b1 e7e5 b2b3 f6h5 b1b2 d8e7 e2e4 e8d8
38,c2c3 f7f6 e2e4 e8f7 e1e2 g7g6 g1h3 f7g7 h1g1 b7b6 d1c2 c8a6
39,g2g4 b8a6 h2h4 h7h6 a2a3 a8b8 a1a2 d7d5 b2b4 g7g6 e2e4 c7c6
40,g2g4 g7g5 a2a3 e7e5 e2e3 a7a5 a1a2 e8e7 e1e2 c7c5 b2b3 d8e8
41,e2e4 d7d5 b1a3 g7g6 f2f3 c8h3 e1f2 e7e5 b2b4 g6g5 f1e2 e8e7
42,g2g4 g7g5 a2a4 a7a5 a1a3 a8a7 e2e4 f7f6 g1h3 a7a6 d2d4 c7c5
43,g2g4 c7c5 e2e4 e7e5 e1e2 g7g5 c2c3 b7b6 b1a3 g8h6 d1e1 e8e7
44,g2g4 g7g5 b2b4 g8f6 e2e4 f6d5 b1c3 d5f4 c3d5 b7b6 d5e7 f4g2
45,e2e4 g7g5 a2a3 c7c5 a1a2 d8c7 b2b3 b7b6 f2f4 g8f6 g2g4 e8d8
46,e2e4 g7g5 d1e2 e7e5 g1h3 f7f6 e2a6 c7c5 a2a3 h7h5 h3g1 e8e7
47,e2e4 g7g5 g2g3 d7d6 f2f3 e8d7 f1c4 g8h6 c2c3 b8a6 d1c2 c7c6
